vx,vy,omega,timestamp
-0.0036237036036602306,0.009320207733350627,0.99995,2025-11-02T17:41:20.116465
0.015532151628464627,-0.007663534810409011,0.99985,2025-11-02T17:41:20.118277
-0.02146814398941105,-0.006249503472265545,0.99975,2025-11-02T17:41:20.119929
0.013734974404983991,0.022610351127179726,0.99965,2025-11-02T17:41:20.121545
0.005834110020006605,-0.02942381111063554,0.99955,2025-11-02T17:41:20.123158
-0.02672844194412097,0.019628751647515843,0.99945,2025-11-02T17:41:20.124790
0.03583882922336073,0.0038930476363466175,0.99935,2025-11-02T17:41:20.126400
-0.025561139964451883,-0.029087207217568304,0.99925,2025-11-02T17:41:20.127990
-0.0008517896488100051,0.04121349238288615,0.99915,2025-11-02T17:41:20.129602
0.030094646039563754,-0.031518403826231146,0.99905,2025-11-02T17:41:20.131196
-0.04571132579958756,0.003061403868154619,0.99895,2025-11-02T17:41:20.132805
0.037437911167397045,0.029951298927125954,0.99885,2025-11-02T17:41:20.134401
-0.00768746185267483,-0.049389679390168306,0.99875,2025-11-02T17:41:20.136000
-0.028779473365319067,0.0432425648269713,0.99865,2025-11-02T17:41:20.137586
0.05226416438477224,-0.012897853354779939,0.99855,2025-11-02T17:41:20.139186
-0.04885128005612327,-0.02666739463986528,0.99845,2025-11-02T17:41:20.140799
0.018579202004967755,0.05433314598712909,0.99835,2025-11-02T17:41:20.142377
0.02368796601561318,-0.054183187115960735,0.99825,2025-11-02T17:41:20.144011
-0.05558890667514108,0.024626224937299917,0.99815,2025-11-02T17:41:20.145699
0.059159743092437565,0.019907845117862456,0.99805,2025-11-02T17:41:20.147291
-0.03093826788677817,-0.056023397613550206,0.99795,2025-11-02T17:41:20.148926
-0.01539218920529793,0.06370602806225076,0.99785,2025-11-02T17:41:20.150513
0.05563146891428538,-0.03741760503344448,0.99775,2025-11-02T17:41:20.152117
-0.06775167925596019,-0.010207225773804495,0.99765,2025-11-02T17:41:20.153710
0.04396868818857966,0.05441279223652615,0.99755,2025-11-02T17:41:20.155365
0.004421627930180504,-0.07123164118878036,0.99745,2025-11-02T17:41:20.157029
-0.05237304010814997,0.050497942233621744,0.99735,2025-11-02T17:41:20.158656
